timestamp,action,view,value
2025-03-11 10:31:51.929,Scroll,Yellow1,"(187, 118)"
2025-03-11 10:31:52.234,Scroll,Yellow1,"(187, 114)"
2025-03-11 10:31:52.346,Scroll,Yellow1,"(192, 103)"
2025-03-11 10:31:52.560,Scroll,Yellow1,"(193, 102)"
2025-03-11 10:31:52.662,Scroll,Yellow1,"(193, 108)"
2025-03-11 10:31:52.691,Scroll,Yellow1,"(193, 113)"
2025-03-11 10:31:52.798,Scroll,Yellow1,"(193, 116)"
2025-03-11 10:31:52.806,Scroll,Yellow1,"(193, 117)"
2025-03-11 10:31:52.928,Scroll,Yellow1,"(193, 120)"
2025-03-11 10:31:52.936,Scroll,Yellow1,"(193, 121)"
2025-03-11 10:31:52.964,Scroll,Yellow1,"(193, 127)"
2025-03-11 10:31:53.276,Scroll,Yellow1,"(193, 131)"
2025-03-11 10:31:53.278,End Scroll,Yellow1,
2025-03-11 10:31:53.596,Wheel Scroll,Yellow1,delta=1
2025-03-11 10:31:53.872,Start Pan,Yellow1,
2025-03-11 10:31:53.878,Pan,Yellow1,"(186, 124)"
2025-03-11 10:31:54.003,Pan,Yellow1,"(183, 136)"
2025-03-11 10:31:54.030,Pan,Yellow1,"(181, 147)"
2025-03-11 10:31:54.131,Pan,Yellow1,"(180, 155)"
2025-03-11 10:31:54.149,Pan,Yellow1,"(179, 160)"
2025-03-11 10:31:54.265,Pan,Yellow1,"(176, 166)"
